lat,lng,max temp,humidity,cloudiness,wind speed,country,date
37.05,140.8833,273.58,65,5,5.91,JP,1644186227
21.25,-105.1667,304.94,67,62,4.55,MX,1644186228
65.8167,87.9833,244.55,100,84,1.57,RU,1644186229
7.9986,124.2928,290.73,93,16,0.69,PH,1644186231
-9.8756,-56.0861,298.11,91,75,0.8,BR,1644186028
42.0751,-72.0334,270.33,60,100,0.45,US,1644186062
14.7328,-6.1219,297.21,11,0,4.27,ML,1644186234
57.1167,8.6167,275.16,69,40,10.77,DK,1644186236
31.4583,131.2333,275.88,69,93,2.87,JP,1644185969
39.2446,55.5154,276.69,75,83,1.28,TM,1644186238
62.1564,-7.1664,273.66,60,75,10.29,FO,1644186239
-18.8625,-41.1228,295.13,88,49,1.87,BR,1644186241
65.85,74.4859,243.76,100,78,1.8,RU,1644186242
40.2833,97.2,261.76,87,42,5.58,CN,1644186243
37.6775,-113.0619,279.69,31,0,6.69,US,1644186245
-10.0681,-78.1522,296.25,73,32,3.84,PE,1644186246
-11.3847,43.2844,299.31,89,40,2.06,KM,1644186247
66.1451,-65.7125,236.7,98,100,0.89,CA,1644186249
20.785,-156.4656,301.74,66,0,8.23,US,1644186251
7.0419,134.2556,299.43,81,100,10.62,PW,1644186252
31.6315,-8.0083,290.19,51,40,2.06,MA,1644186114
-12.0667,134.2667,298.41,81,72,1.33,AU,1644186255
34.2284,-92.0032,282.77,55,0,2.68,US,1644186256
8,98.25,298.27,88,20,1.54,TH,1644186258
41.3712,-73.414,270.95,66,86,2.01,US,1644186259
-6.3164,155.4848,297.36,77,99,0.81,PG,1644186260
37.2687,28.2167,274.44,67,1,1.08,TR,1644186262
54.5189,18.5319,276.95,88,75,6.17,PL,1644186263
-9.9329,-76.2415,291.45,88,100,1.49,PE,1644186264
-43.3002,-65.1023,296.15,34,5,7.09,AR,1644186021
19.3167,-98.1833,292.74,36,37,5.64,MX,1644186267
16.3333,-15,300.91,9,0,4.6,SN,1644186268
-8.4667,140.3333,300.64,81,100,2.91,ID,1644186269
